书名,图片,评论数,推荐量,作者,出版社,售价,原价,折扣,电子书价格,详情页,more
财务自由之路：7年内赚到你的第一个1000万（团购电话:4001066666转6）,http://img3m5.ddimg.cn/41/30/24198215-1_l_18.jpg,157708.0,99.9%,(德) 博多・舍费尔 著，刘欢 译,现代出版社,¥22.50,¥45.00,5.0折,¥3.99,http://product.dangdang.com/24198215.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""投资理财"", ""理财技巧""]]}"
三体1（典藏版）,http://img3m1.ddimg.cn/94/20/23989081-1_l_20.jpg,107778.0,99.9%,刘慈欣，科幻世界出品,重庆出版社,¥13.00,¥26.00,5.0折,,http://product.dangdang.com/23989081.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""科幻小说""]]}"
知行合一王阳明大全集新版（1+2+3+4+传习录）（百万读者的心学入门书！当世阳明心学领军人度阴山经典力作！）,http://img3m5.ddimg.cn/34/5/29361355-1_l_3.jpg,46173.0,100%,度阴山；读客文化 出品,江苏凤凰文艺出版社,¥114.90,¥229.90,5.0折,,http://product.dangdang.com/29361355.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""历史"", ""历史普及读物"", ""中国古代史""]]}"
小兔子学花钱系列（完整版・全4册）：3~7岁财商启蒙，学花钱、学赚钱、学存钱、学捐钱！3岁对钱有概念，7岁会管零花钱,http://img3m1.ddimg.cn/66/11/29287731-1_l_6.jpg,178134.0,100%,（加）辛德斯・麦克劳德 (Cinders McLeod)；读客文化 出品,河南文艺出版社,¥85.60,¥171.20,5.0折,,http://product.dangdang.com/29287731.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""绘本/图画书"", ""精装图画书"", ""欧美""], [""图书"", ""童书"", ""3-6岁"", ""卡通/动漫/图画书""]]}"
婴幼儿互动游戏百科（3-4岁）,http://img3m2.ddimg.cn/79/26/28548412-1_l_8.jpg,4054.0,100%,[韩]张有敬,江西科学技术出版社,¥24.40,¥69.80,3.5折,,http://product.dangdang.com/28548412.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""育儿/早教"", ""早教/亲子互动""]]}"
方素珍作品精选：我有友情要出租（注音版）,http://img3m2.ddimg.cn/62/29/28990232-1_l_13.jpg,15629.0,100%,方素珍 著   郝洛玟等 绘,新疆青少年出版社,¥12.50,¥25.00,5.0折,,http://product.dangdang.com/28990232.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""中国儿童文学"", ""成长/校园小说""], [""图书"", ""童书"", ""7-10岁"", ""文学""]]}"
细菌世界历险记：灰尘的旅行 小学四年级下册 快乐读书吧 推荐阅读（有声朗读）小学课外阅读,http://img3m7.ddimg.cn/11/24/28520327-1_l_25.jpg,21718.0,100%,高士其,商务印书馆,¥12.70,¥29.80,4.3折,,http://product.dangdang.com/28520327.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]}"
【随机金属贴纸+手写信+书单】梁永安：阅读、游历和爱情（宝藏教授B站up主梁永安新作，在不确定的时代，做确定的自己）,http://img3m9.ddimg.cn/97/34/29398939-1_l_29.jpg,45855.0,100%,梁永安,北京时代华文书局,¥25.80,¥59.00,4.4折,¥19.99,http://product.dangdang.com/29398939.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文学"", ""中国现当代随笔""]]}"
如果历史是一群喵10・宋辽金夏篇,http://img3m3.ddimg.cn/41/32/29392943-1_l_14.jpg,102379.0,100%,肥志编绘，漫友文化出品,广东旅游出版社,¥40.66,¥59.80,6.8折,,http://product.dangdang.com/29392943.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""动漫/幽默"", ""大陆漫画"", ""历史/传统文化""]]}"
原则2：桥水创始人瑞・达利欧著 应对变化中的世界秩序,http://img3m6.ddimg.cn/53/28/29355236-1_l_15.jpg,26477.0,99.9%,[美]瑞・达利欧（Ray Dalio）,中信出版社,¥84.00,¥168.00,5.0折,¥99.99,http://product.dangdang.com/29355236.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""管理"", ""一般管理学"", ""管理学""]]}"
二次成长（我们90%的爱与痛都与心理水平处于婴儿阶段有关。如果人生可以重来，我们该如何长大？B站人气UP主“安慰记心理小店”作品。）,http://img3m5.ddimg.cn/82/34/29337445-1_l_36.jpg,16823.0,100%,王瑞 著，文通天下 出品,水利水电出版社,¥22.40,¥56.00,4.0折,¥19.90,http://product.dangdang.com/29337445.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""心理学"", ""心灵疗愈""]]}"
我想做一个能在你的葬礼上描述你一生的人123（套装全三册）：季羡林、沈从文、史铁生等诉说日常里的爱与怀念，暖心情感散文集，触动万千读者回忆,http://img3m9.ddimg.cn/48/8/29317809-1_l_4.jpg,22953.0,100%,季羡林，沈从文，史铁生 等,中国致公出版社,¥67.50,¥135.00,5.0折,,http://product.dangdang.com/29317809.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文学"", ""中国现当代随笔""]]}"
没头脑和不高兴（注音版）,http://img3m9.ddimg.cn/20/14/29291249-1_l_6.jpg,485393.0,100%,任溶溶,浙江少年儿童出版社,¥15.00,¥25.00,6.0折,,http://product.dangdang.com/29291249.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""中国儿童文学"", ""童话故事""], [""图书"", ""童书"", ""7-10岁"", ""文学""]]}"
刻意练习：如何从新手到大师,http://img3m8.ddimg.cn/1/21/29233018-1_l_19.jpg,396583.0,100%,[美] 安德斯・艾利克森（Anders Ericsson）罗伯特・普尔（Robert Pool）,机械工业出版社,¥35.40,¥59.00,6.0折,¥38.35,http://product.dangdang.com/29233018.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""成功/励志"", ""成功/激励"", ""成功法则""]]}"
"受害者游戏（女版东野圭吾 , 继《圣母》《暗黑女子》后又一力作，神反转日本推理悬疑）",http://img3m1.ddimg.cn/1/25/29215891-1_l_20.jpg,22052.0,100%,[日]秋吉理香子，创美工厂 出品,中国友谊出版公司,¥19.90,¥39.80,5.0折,,http://product.dangdang.com/29215891.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""侦探/悬疑/推理小说""]]}"
课文作家作品系列 文具的家 一年级下册 圣野著（语文教材配套、教材编者选编、名家经典阅读、课文作家面对面）人民教育出版社 团购电话:4001066666转6,http://img3m0.ddimg.cn/26/28/29194730-1_l_12.jpg,77744.0,100%,圣野 著，晓波 选编，王林 主编,人民教育出版社,¥17.90,¥21.00,8.5折,,http://product.dangdang.com/29194730.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""小学阅读"", ""课外阅读""]]}"
中华人民共和国民法典(32开压纹烫金版 附草案说明)2021年1月起正式施行  团购电话：4001066666转6,http://img3m9.ddimg.cn/44/7/28553129-1_l_16.jpg,184707.0,99.9%,法律出版社,法律出版社,¥7.70,¥28.00,2.8折,,http://product.dangdang.com/28553129.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""法律"", ""民法"", ""民法学""]]}"
"基督山伯爵（周克希法语直译，布面精装典雅珍藏,全译本，豆瓣9.2分）",http://img3m7.ddimg.cn/34/21/26435707-1_l_23.jpg,90268.0,99.6%,大仲马 著，周克希 译,译林出版社,¥69.00,¥138.00,5.0折,,http://product.dangdang.com/26435707.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""外国小说"", ""法国""]]}"
五味太郎：小金鱼逃走了,http://img3m9.ddimg.cn/26/1/25069499-1_l_12.jpg,320382.0,100%,五味太郎 著， 爱心树童书  出品,新星出版社,¥17.50,¥35.00,5.0折,,http://product.dangdang.com/25069499.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""绘本/图画书"", ""精装图画书"", ""日韩""], [""图书"", ""童书"", ""3-6岁"", ""卡通/动漫/图画书""], [""图书"", ""童书"", ""专注力/记忆力""]]}"
黑色棉花田-――百年国际大奖小说 2016年安徒生奖获得者曹文轩主编。纽伯瑞儿童文学奖金奖、美国国家图书奖获奖小说。美国教育协会推荐童书。,http://img3m5.ddimg.cn/42/28/23977545-1_l_6.jpg,8568.0,100%,（美）米尔德里德・泰勒（Mildred D. Taylor）,南方出版社,¥13.80,¥25.00,5.5折,,http://product.dangdang.com/23977545.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""外国儿童文学"", ""成长/校园小说""]]}"
彼得兔的故事 小学生 成长 注音版,http://img3m6.ddimg.cn/72/16/23946786-1_l_8.jpg,71362.0,99.9%,杨毛毛,北方妇女儿童出版社,¥22.00,¥40.00,5.5折,,http://product.dangdang.com/23946786.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""小学阅读"", ""拼音读物""]]}"
米小圈脑筋急转弯（第一辑）（套装共4册）,http://img3m8.ddimg.cn/38/0/23878838-1_l_11.jpg,676532.0,95.5%,北猫,四川少年儿童出版社,¥28.10,¥64.00,4.4折,,http://product.dangdang.com/23878838.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""益智游戏"", ""脑筋急转弯""], [""图书"", ""童书"", ""3-6岁"", ""益智游戏""], [""图书"", ""童书"", ""开学必备""]]}"
伊索寓言 快乐读书吧 三年级下册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 150000多名读者热评！,http://img3m8.ddimg.cn/47/17/22800638-1_l_43.jpg,222482.0,99.9%,［古希腊］伊索,时代文艺出版社,¥5.30,¥14.80,3.6折,,http://product.dangdang.com/22800638.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]}"
西游记原著版（上、下册）（团购电话:400-1066666转6）,http://img3m6.ddimg.cn/89/33/104336-1_l_3.jpg,410989.0,99.3%,吴承恩,人民文学出版社,¥25.40,¥47.20,5.4折,¥29.00,http://product.dangdang.com/104336.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""中国古典小说""]]}"
愿望的实现（手绘精美插图，亚洲诺贝尔文学奖得主泰戈尔代表作之一）,http://img3m1.ddimg.cn/17/21/28470041-1_l_22.jpg,44293.0,100%,（印度）泰戈尔 著；郑振铎 张炽恒 译；小当当童书馆 出品,浙江工商大学出版社,¥7.52,¥19.80,3.8折,,http://product.dangdang.com/28470041.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""外国儿童文学"", ""经典名著少儿版""], [""图书"", ""童书"", ""7-10岁"", ""文学""], [""图书"", ""童书"", ""开学必备""]]}"
湘行散记：沈从文散文精粹（沈从文代表作）,http://img3m8.ddimg.cn/2/0/26922458-1_l_19.jpg,65579.0,100%,沈从文,中国友谊出版公司,¥15.70,¥32.00,4.9折,,http://product.dangdang.com/26922458.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文学"", ""名家作品""]]}"
白鹅赶路（陈伯吹儿童文学奖等多项童书大奖得主彭万州赠予孩子的精神养料。手绘精美插图）,http://img3m8.ddimg.cn/78/13/26482578-1_l_25.jpg,22090.0,100%,彭万洲 著；小当当出品,中译出版社（原中国对外翻译出版公司）,¥12.20,¥24.80,4.9折,,http://product.dangdang.com/26482578.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""中国儿童文学"", ""童话故事""], [""图书"", ""童书"", ""7-10岁"", ""文学""], [""图书"", ""童书"", ""11-14岁"", ""文学""]]}"
我这么自律，就是为了不平庸至死,http://img3m4.ddimg.cn/48/33/25259304-1_l_10.jpg,89940.0,99.9%,怀左同学,北京联合出版有限公司,¥28.50,¥38.00,7.5折,¥9.90,http://product.dangdang.com/25259304.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""成功/励志"", ""人生哲学"", ""生活哲学""]]}"
孙子兵法・三十六计（少年儿童版：完整原文+详细注释+准确翻译+历史故事，一本少年儿童容易读懂的兵书）,http://img3m3.ddimg.cn/32/25/25126133-1_l_19.jpg,183069.0,100%,〔春秋〕孙武  等著    富强  改编,浙江工商大学出版社,¥11.30,¥25.00,4.5折,,http://product.dangdang.com/25126133.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""小学阅读"", ""语文阅读""]]}"
卡拉马佐夫兄弟（上下册套装。陀思妥耶夫斯基经典长篇小说）,http://img3m4.ddimg.cn/92/33/24103424-1_l_12.jpg,34558.0,99.9%,（俄罗斯）陀思妥耶夫斯基 著，徐振亚 冯增义 译,西安交通大学出版社,¥36.90,¥82.00,4.5折,¥3.99,http://product.dangdang.com/24103424.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""世界名著"", ""欧洲""]]}"
悲惨世界（法国大文豪雨果“命运三部曲”之一，未删节全译版）,http://img3m6.ddimg.cn/2/19/23979386-1_l_13.jpg,106658.0,99.9%,[法]维克多・雨果,作家出版社,¥39.60,¥88.00,4.5折,¥1.99,http://product.dangdang.com/23979386.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""世界名著"", ""欧洲""]]}"
三国演义 ( 青少版，依据原著改写成现代白话文，适合小学高年级和初中生阅读),http://img3m2.ddimg.cn/30/4/23941002-1_l_16.jpg,146575.0,99.9%,(明) 罗贯中 著;富强 改编,安徽教育出版社,¥9.80,¥20.00,4.9折,,http://product.dangdang.com/23941002.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""小学阅读"", ""四大名著""]]}"
人间词话（王国维先生的代表作，近代较富盛名的词话著作）,http://img3m7.ddimg.cn/84/13/23715237-1_l_15.jpg,595393.0,99.9%,王国维　著,北京联合出版公司,¥13.40,¥29.80,4.5折,¥0.00,http://product.dangdang.com/23715237.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文学"", ""中国古诗词""]]}"
"西西弗神话（诺贝尔文学奖得主,加缪的荒诞哲学代表作)",http://img3m5.ddimg.cn/43/15/29134555-1_l_9.jpg,43213.0,100%,（法）阿尔贝・加缪著，李玉民译，知书达礼 出品,民主与建设出版社,¥25.80,¥49.80,5.2折,¥9.40,http://product.dangdang.com/29134555.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文学"", ""外国随笔""]]}"
温柔教养  科学有效培养孩子的自律家庭教育儿书籍 父母教育孩子提升自我时间管理能力 家长培养孩子正确行为习惯正面管教 引导孩子健康正面心理 帮助孩子劳逸结合学习的方法,http://img3m5.ddimg.cn/20/16/29453015-1_l_4.jpg,698.0,100%,杨颖,民主与建设出版社,¥18.00,¥36.00,5.0折,,http://product.dangdang.com/29453015.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""亲子/家教"", ""家教方法""]]}"
一地鸡毛,http://img3m8.ddimg.cn/94/0/29437348-1_l_6.jpg,60266.0,99.8%,刘震云，长江新世纪 出品,花城出版社,¥30.00,¥60.00,5.0折,,http://product.dangdang.com/29437348.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""中国当代小说""]]}"
活得通透 92岁心理医生恒子奶奶人间清醒的活法（《人间值得》终生践行篇！人生的选择没有正确答案，我们唯有尽力做好眼前的事。）,http://img3m5.ddimg.cn/75/4/29425845-1_l_19.jpg,18817.0,100%,[日]中村恒子（恒子奶奶）、奥田弘美著，王健波、张晶译，紫图图书出品,北京日报出版社,¥27.50,¥55.00,5.0折,¥12.99,http://product.dangdang.com/29425845.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""成功/励志"", ""人生哲学"", ""人生智慧""]]}"
当下的力量（珍藏版）,http://img3m9.ddimg.cn/65/24/29390789-1_l_2.jpg,232245.0,99.9%,(德)埃克哈特.托利,中信出版社,¥42.00,¥56.00,7.5折,¥5.99,http://product.dangdang.com/29390789.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""成功/励志"", ""心灵与修养"", ""心灵/感悟""]]}"
同名同姓受害者协会（登场人物全员同名同姓！江户川乱步奖得主推理神作！）（读客悬疑文库）,http://img3m5.ddimg.cn/46/27/29386315-1_l_8.jpg,37983.0,100%,[日] 下村敦史；虞侃 译；读客文化 出品,文汇出版社,¥22.50,¥45.00,5.0折,¥14.99,http://product.dangdang.com/29386315.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""侦探/悬疑/推理小说""]]}"
猫博士作文大冒险系列套装（3本套),http://img3m8.ddimg.cn/87/4/29330718-1_l_2.jpg,3123.0,100%,丁之琳,少年儿童出版社,¥28.00,¥58.00,4.8折,,http://product.dangdang.com/29330718.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""中国儿童文学"", ""侦探/冒险小说""], [""图书"", ""童书"", ""7-10岁"", ""文学""]]}"
人间词话（小嘉抖音推荐，叶嘉莹讲评本，诗词大家叶嘉莹逐条讲透、点评王国维诗词美学经典，读懂人生三境界）,http://img3m5.ddimg.cn/61/17/29305645-1_l_5.jpg,58332.0,100%,王国维，讲评 叶嘉莹，果麦文化 出品,万卷出版公司,¥31.90,¥68.00,4.7折,¥49.00,http://product.dangdang.com/29305645.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文学"", ""中国古诗词""]]}"
符号密语（500个符号背后的人类文明，一本浓缩人类文明历史的趣味宝典）,http://img3m9.ddimg.cn/32/11/29217209-1_l_16.jpg,3524.0,100%,[英]大卫 .丰塔纳；创美工厂出品,中国友谊出版公司,¥44.00,¥88.00,5.0折,,http://product.dangdang.com/29217209.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""历史"", ""专业史""]]}"
自律的人生更自由 彻底摆脱杂、乱、忙，做自己人生的掌控者,http://img3m6.ddimg.cn/30/1/28976736-1_l_26.jpg,19184.0,100%,小椰子  著，文通天下  出品,古吴轩出版社,¥23.00,¥46.00,5.0折,¥19.90,http://product.dangdang.com/28976736.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""成功/励志"", ""人生哲学"", ""人生智慧""]]}"
人生哲思录（全新修订版）,http://img3m2.ddimg.cn/66/12/27925392-1_l_3.jpg,49562.0,99.9%,周国平  著，  新经典   出品,北京十月文艺出版社,¥43.80,¥88.00,5.0折,¥39.99,http://product.dangdang.com/27925392.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""哲学/宗教"", ""哲学"", ""哲学与人生""]]}"
雷雨（中国现代杰出剧作家曹禺的代表作，被翻译成各国语言的中国话剧，精装收藏版）,http://img3m2.ddimg.cn/76/8/25232602-1_l_5.jpg,86816.0,100%,曹禺 著，新经典 出品,北京十月文艺出版社,¥18.00,¥36.00,5.0折,,http://product.dangdang.com/25232602.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文学"", ""戏剧文学""]]}"
大侦探福尔摩斯（第1辑）（全6册）,http://img3m5.ddimg.cn/88/30/25224595-1_l_30.jpg,193607.0,100%,柯南・道尔 著；厉河 编；余远�B 绘；海豚传媒出品,湖北教育出版社,¥49.40,¥114.00,4.3折,,http://product.dangdang.com/25224595.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""外国儿童文学"", ""侦探/冒险小说""], [""图书"", ""童书"", ""7-10岁"", ""文学""]]}"
海子的诗（撒贝宁、白岩松、周云蓬推荐，一个阅读诗歌的人比不阅读诗歌的人更难被战胜）,http://img3m7.ddimg.cn/21/30/25171167-1_l_8.jpg,86153.0,100%,海子，果麦文化 出品,江西人民出版社,¥21.00,¥42.00,5.0折,¥4.99,http://product.dangdang.com/25171167.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文学"", ""中国现当代诗歌""]]}"
放学后（东野圭吾成名作）,http://img3m5.ddimg.cn/2/17/25154615-1_l_14.jpg,361337.0,100%,〔日〕东野圭吾 著，新经典 出品,南海出版公司,¥26.10,¥45.00,5.8折,¥24.99,http://product.dangdang.com/25154615.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""侦探/悬疑/推理小说""]]}"
梦之海 （“雨果奖”得主刘慈欣短篇合集Ⅱ）,http://img3m6.ddimg.cn/23/7/23749826-1_l_17.jpg,24854.0,100%,刘慈欣  著，科幻世界出品,四川科技出版社,¥18.00,¥36.00,5.0折,,http://product.dangdang.com/23749826.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""科幻小说""], [""图书"", ""小说"", ""小说作品集"", ""中国""]]}"
我们生活在巨大的差距里（余华十年杂文集）,http://img3m5.ddimg.cn/83/17/23636135-1_l_5.jpg,42023.0,99.8%,余华作品,北京十月文艺出版社,¥17.50,¥35.00,5.0折,¥21.65,http://product.dangdang.com/23636135.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文学"", ""中国现当代随笔""]]}"
傲慢与偏见 世界名著典藏,http://img3m6.ddimg.cn/3/25/23717136-1_l_10.jpg,156130.0,99.9%,（英） 奥斯丁 著，罗良功 译 万亭文化 出品,中央编译出版社,¥10.00,¥20.00,5.0折,,http://product.dangdang.com/23717136.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""世界名著"", ""欧洲""]]}"
茶花女 世界名著典藏,http://img3m8.ddimg.cn/68/8/23645228-1_l_12.jpg,68815.0,99.9%,（法）小仲马　著，李玉民　译 万亭文化 出品,中央编译出版社,¥8.00,¥16.00,5.0折,,http://product.dangdang.com/23645228.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""世界名著"", ""欧洲""]]}"
