书名,图片,评论数,推荐量,作者,出版日期,出版社,售价,原价,折扣,电子书价格,详情页,keys,cates,desc
看看我们的地球 金波、张抗抗推荐 快乐读书吧 爱阅读课程化丛书 青少版（无障碍阅读 彩插本）10000多名读者热评！小学四年级,http://img3m4.ddimg.cn/78/6/28513464-1_l_10.jpg,31725.0,100%,李四光,2020-02-01,民主与建设出版社,¥9.00,¥24.80,3.6折,,http://product.dangdang.com/28513464.html,"[""开 本：16开"", ""纸 张：轻型纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787513926553""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]",新旧两种封面随机发货  
人类群星闪耀时（2022）,http://img3m4.ddimg.cn/46/10/29476504-1_l_12.jpg,93105.0,100%,斯蒂芬・茨威格，译者：姜乙， 果麦文化 出品,2022-11-01,江苏凤凰文艺出版社,¥24.50,¥49.00,5.0折,¥7.99,http://product.dangdang.com/29476504.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装"", ""是否套装：否"", ""国际标准书号ISBN：9787559470027""]","[[""图书"", ""传记"", ""历史人物""]]",小米创始人雷军推荐。茨威格代表作品，德文直译无删节版。豆瓣高分《悉达多》译者、翻译家姜乙三年打磨，倾情献译。14个扭转乾坤的关键时刻，14个决定命运的英雄瞬间，如群星般璀璨而不渝地照耀着暂时的黑夜。  
蓦然回首（藤本树  LookBack）,http://img3m0.ddimg.cn/33/14/29444910-1_l_23.jpg,10835.0,100%,[日]藤本树 著 吴曦 译,2022-08-01,新星出版社,¥30.00,¥30.00,10.0折,,http://product.dangdang.com/29444910.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787513348362""]","[[""图书"", ""动漫/幽默"", ""日韩漫画"", ""其他日本漫画""]]",豆瓣2022年度榜单漫画TOP1！！《电锯人》《炎拳》作者藤本树作品。“2022年这本漫画真厉害”第一名；创《少年Jump+》短篇作品阅读人数历史新高。随书附赠明信片*1+四格书签*2  
《苏东坡传――罗翔2022年度书单推荐》,http://img3m4.ddimg.cn/56/10/28521164-1_l_8.jpg,822.0,99.5%,肖仁福 著,2020-03-02,团结出版社,¥24.90,¥49.80,5.0折,,http://product.dangdang.com/28521164.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787512674516""]","[[""图书"", ""传记"", ""历史人物""]]",继《大汉辅国——霍光传》后，作家肖仁福的又一力作！更深刻地了解苏轼的佳作！  
三个火枪手（大仲马经典长篇小说，又名《三剑客》）,http://img3m7.ddimg.cn/65/2/23941037-1_l_12.jpg,36262.0,99.9%,亚历山大仲马 金孩 译,2016-04-01,作家出版社,¥28.40,¥58.00,4.9折,¥1.99,http://product.dangdang.com/23941037.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787506387415""]","[[""图书"", ""小说"", ""世界名著"", ""欧洲""]]",大仲马经典长篇小说，又名《三剑客》，闪耀“骑士精神”的耀眼余晖，惊险&曲折，骑士救美&圆满，对金庸等作家影响深远的世界名著  
我们的身体,http://img3m7.ddimg.cn/57/36/23946177-1_l_59.jpg,650371.0,99.9%,[法]艾德兰  文，[法]巴尔博里尼  绘，乐乐趣  出品,2012-06-01,未来出版社,¥60.50,¥155.00,3.9折,,http://product.dangdang.com/23946177.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787541745546""]","[[""图书"", ""童书"", ""科普/百科"", ""科普""], [""图书"", ""童书"", ""3-6岁"", ""科普/百科""], [""图书"", ""童书"", ""健康教育""]]",3-6岁儿童生理教育、性教育启蒙立体科普书！超好玩、全面的人体百科，翻翻、转转、拉拉、触摸等多重趣味互动环节，让孩子爱上阅读，爱上探索！ 乐乐趣科普阅读翻翻书  
一个陌生女人的来信（茨威格中短篇小说选，豆瓣9.4高评分译作，德文直译无删节）,http://img3m1.ddimg.cn/30/23/25126131-1_l_17.jpg,209468.0,99.9%,〔奥〕斯蒂芬・茨威格 著  高中甫 韩耀成 译,2017-09-01,时代文艺出版社,¥9.90,¥22.00,4.5折,¥1.99,http://product.dangdang.com/25126131.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787538754872""]","[[""图书"", ""小说"", ""社会小说""], [""图书"", ""小说"", ""外国小说"", ""其他国家""]]",全新编校修订+翻译家高中甫译作。孟京辉说：“陌生女人带着强烈宿命意味的勇气，让人不忍看却又不能不看……这是一种奢侈的美感，是一种幸福。”  
"高效能人士的七个习惯（30周年纪念版）（全新增订版）（新增《纽约时报》畅销肖恩・柯维全新观点,管理大师吉姆・柯林斯作序）",http://img3m3.ddimg.cn/2/6/28979183-1_l_30.jpg,299989.0,100%,（美）史蒂芬・柯维 ，高新勇、王亦兵、葛雪蕾译； 中青文  出品,2020-05-30,中国青年出版社,¥43.50,¥79.00,5.5折,,http://product.dangdang.com/28979183.html,"[""开 本：16开"", ""纸 张：纯质纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787515360430""]","[[""图书"", ""成功/励志"", ""性格与习惯"", ""习惯""]]","打造一套全新的思维方式和原则体系,美团“四大名著”之一,永恒经典,历久弥新思想,提升人生必修课,组织变革成功行动指南,领导CEO案头，职场精英和学生书，教育家和父母必修课  "
伊索寓言 快乐读书吧 三年级下册推荐阅读(中小学生课外阅读指导丛书)彩插无障碍阅读 智慧熊图书,http://img3m7.ddimg.cn/93/14/29130447-1_l_15.jpg,2115.0,100%,（古希腊）伊索,2020-09-01,商务印书馆,¥9.70,¥22.80,4.3折,,http://product.dangdang.com/29130447.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787100188951""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]",新老版本任意发货  
鲁滨逊漂流记+汤姆・索亚历险记+尼尔斯骑鹅旅行记+爱丽丝漫游奇境 张抗抗、金波推荐（六年级阅读套装共4册）,http://img3m4.ddimg.cn/52/29/26919934-1_l_13.jpg,15802.0,100%,刘易斯・卡洛尔 塞尔玛・拉格洛芙 马克・吐温 丹尼尔・笛福,2017-08-01,天地出版社,¥48.60,¥99.20,4.9折,,http://product.dangdang.com/26919934.html,"[""开 本：16开"", ""纸 张：轻型纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：9787545524482""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""课外阅读""]]",两种封面随机发货  
林汉达中国历史故事集（珍藏版）,http://img3m4.ddimg.cn/88/8/29287654-1_l_4.jpg,228966.0,100%,林汉达、雪岗,2022-01-01,中国少年儿童出版社,¥39.90,¥79.80,5.0折,,http://product.dangdang.com/29287654.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787514840469""]","[[""图书"", ""童书"", ""中国儿童文学"", ""传统文化""], [""图书"", ""童书"", ""7-10岁"", ""文学""]]",语言大师林汉达专为孩子编写的一部历史启蒙半个多世纪以来一直畅销不衰深受广大家长和小读者的欢迎和喜爱，此系列已成为历史普及读物中的经典。特别添加音频（扫一扫），让历史故事变得更加幽默诙谐。  
不见了一只猫（2023百班千人寒假书单 二年级推荐阅读）,http://img3m6.ddimg.cn/15/35/29482116-1_l_3.jpg,6.0,100%,梁灵惠,2022-08-01,百花文艺出版社,¥32.00,¥45.00,7.1折,,http://product.dangdang.com/29482116.html,"[""开 本：16开"", ""纸 张：铜版纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787530682906""]","[[""图书"", ""童书"", ""绘本/图画书"", ""精装图画书"", ""中国原创""], [""图书"", ""童书"", ""3-6岁"", ""卡通/动漫/图画书""]]",信谊图画书奖入围奖插画师梁灵惠 用细腻的插画生动再现人与猫之间相依相伴的真挚情感 给孩子美的启蒙与爱的教育。一个老人，一只猫，一个温暖动人的故事。 让我们懂得，最好的爱是陪伴。  
权威定本四大名著： 红楼梦 三国演义  水浒传  西游记 当当网专享（腰封版本随/机派发）（团购电话:400-1066666转6）,http://img3m1.ddimg.cn/6/34/20605371-1_l_10.jpg,264688.0,99.5%,（清）曹雪芹　等著；（清）无名氏　续,2008-07-01,人民文学出版社,¥112.20,¥197.00,5.7折,,http://product.dangdang.com/20605371.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：20605371"", ""丛书名：中国古典文学读本丛书""]","[[""图书"", ""小说"", ""中国古典小说""]]",权威版本！永远的收藏经典！  
人类群星闪耀时（14个改变人类命运的天才，14个影响人类文明的瞬间！全新精装彩插导读详注版！）（读客经典文库）,http://img3m9.ddimg.cn/54/30/26919639-1_l_33.jpg,145467.0,100%,(奥地利)茨威格 著；读客文化 出品,2019-04-01,江苏凤凰文艺出版社,¥29.50,¥69.00,4.3折,¥40.50,http://product.dangdang.com/26919639.html,"[""开 本：32开"", ""纸 张：轻型纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787559433626""]","[[""图书"", ""传记"", ""人物合集""], [""图书"", ""中小学用书"", ""中小学阅读"", ""语文阅读""]]",传记之王茨威格享誉世界之作！余华、高圆圆都曾被这本书打动！14篇专业导读，15张全彩插图，2080个详细注释！附赠群星地图，震撼呈现影响人类文明的100个历史瞬间！读客熊猫君出品  
科幻世界・三体(二)黑暗森林,http://img3m2.ddimg.cn/43/18/20974282-1_l_15.jpg,294289.0,99.9%,刘慈欣，科幻世界出品,2008-05-01,重庆出版社,¥16.00,¥32.00,5.0折,¥14.99,http://product.dangdang.com/20974282.html,"[""开 本：大32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787536693968""]","[[""图书"", ""小说"", ""科幻小说""], [""图书"", ""小说"", ""中国当代小说""]]",刘慈欣《三体》系列第二部！亚洲雨果奖得主，十届银河奖得主，国内超好的科幻作品！  
西游记（上下）原著（《语文》推荐阅读丛书 人民文学出版社）,http://img3m4.ddimg.cn/94/13/25283704-1_l_6.jpg,123265.0,100%,吴承恩,2018-05-30,人民文学出版社,¥28.00,¥56.00,5.0折,¥28.00,http://product.dangdang.com/25283704.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：9787020137329""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""四大名著""]]",语文教材配套书目/版本完善，编校精良，助力成长.  
自信的觉醒：从自卑走向自信的必修课,http://img3m6.ddimg.cn/72/26/29334366-1_l_12.jpg,10168.0,100%,R法 著，斯坦威出品,2021-11-30,中国友谊出版公司,¥20.70,¥46.00,4.5折,¥23.00,http://product.dangdang.com/29334366.html,"[""开 本：32开"", ""纸 张：轻型纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787505753488""]","[[""图书"", ""心理学"", ""心理百科""]]",停止精神内卷，7步自信重建法，改变认知行为，学会自信的沟通！自信的觉醒不是狂妄自大，而是拥抱不完美的自己！抖音粉丝超300万达人R法倾情巨献，一起踏上自我疗愈之旅！  
人类起源的演化过程 金波、张抗抗推荐 快乐读书吧 爱阅读课程化丛书 青少版（无障碍阅读 彩插本）小学四年级,http://img3m9.ddimg.cn/83/11/28513469-1_l_9.jpg,28864.0,100%,贾兰坡,2020-02-01,民主与建设出版社,¥9.00,¥24.80,3.6折,,http://product.dangdang.com/28513469.html,"[""开 本：16开"", ""纸 张：轻型纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787513928656""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]",新旧两种封面随机发货  
娱乐至死：媒介文化研究大师尼尔・波兹曼经典畅销作品,http://img3m6.ddimg.cn/37/22/23687866-1_l_6.jpg,217826.0,99.7%,（美）波兹曼　著，章艳　译,2015-05-01,中信出版社,¥24.20,¥38.00,6.4折,¥19.99,http://product.dangdang.com/23687866.html,"[""开 本：大32开"", ""纸 张：胶版纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787508648286"", ""丛书名：尼尔·波兹曼系列""]","[[""图书"", ""社会科学"", ""新闻传播出版"", ""广播/电视/电影""]]",媒介文化研究大师尼尔·波兹曼经典畅销作品  
茶馆（《语文》推荐阅读丛书）人民文学出版社,http://img3m2.ddimg.cn/76/26/25267252-1_l_7.jpg,79399.0,100%,老舍,2018-04-01,人民文学出版社,¥9.00,¥18.00,5.0折,¥9.00,http://product.dangdang.com/25267252.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787020137558""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""语文阅读""]]",茶馆（《语文》推荐阅读丛书）人民文学出版社  
哈利波特20周年纪念版 哈利・波特与魔法石Ⅰ（第1卷）,http://img3m7.ddimg.cn/40/20/27902497-1_l_3.jpg,24695.0,100%,（英）J.K.罗琳 著；苏农 译,2019-07-01,人民文学出版社,¥14.10,¥21.00,6.7折,,http://product.dangdang.com/27902497.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787020152490""]","[[""图书"", ""童书"", ""外国儿童文学"", ""幻想小说""], [""图书"", ""童书"", ""7-10岁"", ""文学""]]",我们将七个故事拆分为二十本书， 邀请知名插画家李旻绘制原创封面， 并且再一次从头至尾修订了译文， 这是一套更容易购买、更容易阅读的“哈利·波特”系列图书。  
全球通史:从史前史到21世纪（第7版修订版上下册，赠送全球通史主题笔记本）,http://img3m8.ddimg.cn/43/20/9231298-1_l_36.jpg,471955.0,99.7%,（美）斯塔夫里阿诺斯  著，吴象婴  等译,2006-10-01,北京大学出版社,¥71.10,¥96.00,7.4折,,http://product.dangdang.com/9231298.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9231298"", ""丛书名：培文书系·人文科学系列""]","[[""图书"", ""历史"", ""史家名著""], [""图书"", ""历史"", ""世界史"", ""世界通史""]]",中国畅销200万册，修订版新增数百幅珍贵的图片和脉络清晰的地图。你将看到一个从来就存在，却被大多数人无视的真实世界。  
梁实秋：为这人间操碎了心（一本解闷宝书，文学泰斗梁实秋趣味散文选，创作100周年纪念版）,http://img3m0.ddimg.cn/11/29/29129870-1_l_31.jpg,72373.0,100%,梁实秋 著  时代华语 出品,2020-10-01,中国友谊出版公司,¥19.80,¥42.00,4.7折,,http://product.dangdang.com/29129870.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787505749719""]","[[""图书"", ""文学"", ""中国现当代随笔""]]",梁实秋女儿亲自审定，十点读书推荐，蔡康永《奇葩说》现场深情怀念。韩寒的写作模范，周国平盛赞。闲要闲得有滋味，忙要忙得有价值，这样才像一个人。团购电话:4001066666转6。  
崔玉涛育儿百科,http://img3m6.ddimg.cn/60/15/26312676-1_l_21.jpg,129079.0,100%,崔玉涛,2018-12-31,中信出版社,¥89.00,¥178.00,5.0折,,http://product.dangdang.com/26312676.html,"[""开 本：16开"", ""纸 张：纯质纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787508698366"", ""丛书名：无""]","[[""图书"", ""育儿/早教"", ""育儿百科""]]",800万父母关注、众多明星妈妈信赖的知名儿科医生崔大夫力作。凝聚34年临床经验，专为0-6岁中国宝宝定制的养育指南。为读者打造专有家庭医生般的全新百科阅读体验：深入浅出的文字+贴心育儿技巧小视频  
尼尔斯骑鹅历险记（小学语文“快乐读书吧”六年级下阅读。又译《尼尔斯骑鹅旅行记》，注音&注释，无障碍阅读）,http://img3m4.ddimg.cn/33/26/25126134-1_l_19.jpg,65560.0,100%,[瑞典]塞尔玛・拉格洛芙  著   石琴娥  译,2017-08-01,浙江工商大学出版社,¥12.20,¥27.00,4.5折,¥1.99,http://product.dangdang.com/25126134.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787517822387""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]",“熊孩子”尼尔斯的空中奇妙漂流。  
曾国藩传（当当专享印签版！张宏杰全新增补版：复盘曾国藩的人生路径及命运抉择）,http://img3m2.ddimg.cn/29/14/29468072-1_l_3.jpg,144686.0,100%,张宏杰,2022-09-29,民主与建设出版社,¥56.10,¥78.00,7.2折,¥39.00,http://product.dangdang.com/29468072.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787513921091"", ""丛书名：YH0123456789""]","[[""图书"", ""传记"", ""历史人物""]]",知名历史学者张宏杰代表作，新增万字“曾国藩的遗产”，俞敏洪、马伯庸、李尚龙推荐。一个持续奋斗者的升级之道。从笨人到圣人，经历五次耻辱，如何步步升级，脱胎换骨？附赠曾国藩家书典藏本  
献给阿尔吉侬的花束（新版）,http://img3m6.ddimg.cn/83/6/29442386-1_l_14.jpg,68996.0,99.7%,（美）丹尼尔・凯斯 著，理想国 出品,2022-08-01,河南文艺出版社,¥28.00,¥48.00,5.8折,¥33.60,http://product.dangdang.com/29442386.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787555913726""]","[[""图书"", ""小说"", ""科幻小说""]]",豆瓣9.1高分，豆瓣科幻小说榜Top10，6万+评分，10万+想读 囊括世界科幻小说两项大奖“星云奖”“雨果奖”，感动无数读者的人性关怀杰作 30多种语言译本，全球销量超过600万册  
三国史话：史学泰斗吕思勉展现真实的三国人物,http://img3m4.ddimg.cn/59/14/29217434-1_l_9.jpg,16797.0,99.9%,吕思勉 著,2021-03-01,中国友谊出版公司,¥18.90,¥42.00,4.5折,¥0.99,http://product.dangdang.com/29217434.html,"[""开 本：32开"", ""纸 张：轻型纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787505751378""]","[[""图书"", ""历史"", ""历史普及读物"", ""中国古代史""]]",拨开历史的迷雾，解密真实的三国。史学四大家之一吕思勉先生写给大众的三国普及读物。发掘三国人物不为人知的侧面，易中天品三国重要参考资料。  
一读就会用的分类成语故事（把成语用起来！随书附赠价值99元在线学习码，全10册，歪歪兔童书馆出品）,http://img3m8.ddimg.cn/35/16/28536488-1_l_91.jpg,53404.0,100%,歪歪兔童书馆,2020-05-01,海豚出版社,¥202.50,¥450.00,4.5折,,http://product.dangdang.com/28536488.html,"[""开 本：16开"", ""纸 张：铜版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：9787511051363""]","[[""图书"", ""童书"", ""中国儿童文学"", ""传统文化""], [""图书"", ""童书"", ""7-10岁"", ""文学""], [""图书"", ""童书"", ""少儿国学""]]",歪歪兔分类成语故事大全，6-9-10-14岁成语。按成语含义和应用场景分类，掌握更轻松，使用更贴切，让作文和演讲更出色。20个大类+500个故事+8000个成语，涵盖小学到高中所需成语，提升大语文素养  
会说话的汉字（全3册，配备《亲子阅读指导手册》）,http://img3m0.ddimg.cn/62/22/25321490-1_l_13.jpg,61808.0,100%,梅子涵,2018-09-01,青岛出版社,¥74.00,¥148.00,5.0折,,http://product.dangdang.com/25321490.html,"[""开 本：12开"", ""纸 张：轻型纸"", ""包 装：精装"", ""是否套装：是"", ""国际标准书号ISBN：25321490""]","[[""图书"", ""童书"", ""幼儿启蒙"", ""幼儿园教材及入学准备""], [""图书"", ""童书"", ""3-6岁"", ""入学准备""], [""图书"", ""童书"", ""幼小衔接""]]","一字一画、字画结合，帮助孩子轻松掌握150个基础汉字，梅子涵和潘川联袂打造，给孩子美丽的汉字启蒙。帮助孩子顺利度过幼小衔接，尽早适应一年级汉字学习,适合3-6岁孩子阅读。幼教专家亲撰阅读指导手册。  "
他和她的猫（当当专享定制INS风透卡、定制捏脸圆扇、定制甜蜜3D变幻卡，“唧唧的猫”甜蜜电竞题材作品）,http://img3m9.ddimg.cn/5/13/25299059-1_l_37.jpg,108131.0,100%,唧唧的猫著，鲤伴出品，有容书邦发行,2018-07-01,江苏凤凰文艺出版社,¥17.50,¥35.00,5.0折,,http://product.dangdang.com/25299059.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787559418029""]","[[""图书"", ""青春文学"", ""青春爱情文学""]]",杨紫李现《亲爱的热爱的》同题材高甜小说。继《蜜汁炖鱿鱼》后再现甜蜜暖心的电竞言情文。《她的小梨涡》作者“唧唧的猫”新作，以LPL为背景的甜文。“你当我男朋友好不好，我去给你摘天上的星星。”  
季羡林：人间岁月长,http://img3m4.ddimg.cn/55/26/28540864-1_l_7.jpg,75477.0,100%,季羡林,2020-03-01,中国致公出版社,¥22.50,¥45.00,5.0折,,http://product.dangdang.com/28540864.html,"[""开 本：16开"", ""纸 张：纯质纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787514512618""]","[[""图书"", ""文学"", ""名家作品""]]",南派三叔诚意推荐。上市一月，数度加印，稳列热卖榜前三。北大终身教授给彷徨者的礼物，愿你活得坦荡、清醒、真实。一本书阅尽季羡林百岁人生感悟。金庸、贾平凹、白岩松、林青霞、钱文忠等极力推崇。  
红色羊齿草的故乡（2019版）,http://img3m7.ddimg.cn/93/33/27850377-1_l_7.jpg,37826.0,99.9%,［美］威尔逊・罗尔斯， 爱心树童书  出品,2019-03-01,新星出版社,¥17.50,¥35.00,5.0折,,http://product.dangdang.com/27850377.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787513334594""]","[[""图书"", ""童书"", ""外国儿童文学"", ""动物小说""], [""图书"", ""童书"", ""7-10岁"", ""文学""], [""图书"", ""童书"", ""11-14岁"", ""文学""]]",美国动物小说经典作品，不可错过的伟大故事！与《小王子》《夏洛的网》《神奇的收费亭》并列20世纪50本童书。影响中国教师的教育经典《朗读手册Ⅱ》推荐阅读书。美国多地小学暑期推荐阅读。爱心树童书出品  
经典译林：简爱（央视《朗读者》选读版本，翻译家黄源深译本！初中语文九年级下）团购电话:4001066666转6,http://img3m1.ddimg.cn/72/21/26439111-1_l_9.jpg,125946.0,99.9%,夏洛蒂・勃朗特 著，黄源深 译,2018-10-01,译林出版社,¥17.90,¥39.00,4.6折,,http://product.dangdang.com/26439111.html,"[""开 本：32开"", ""纸 张：纯质纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787544774666""]","[[""图书"", ""中小学用书"", ""初中阅读"", ""课外阅读""]]",蔡徐坤的六一礼物！畅销二十余年，读者挚爱黄源深先生译本，据牛津大学出版社权威版本译出  
西游记 生僻字注音+注释+注解 插图青少版 小升初、中考配套阅读 9-15岁孩子更易读懂 名家推荐,http://img3m2.ddimg.cn/79/9/25111132-1_l_25.jpg,57396.0,99.9%,（明）吴承恩 著，高高国际 出品,2017-08-01,民主与建设出版社,¥11.90,¥29.80,4.0折,,http://product.dangdang.com/25111132.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787513915434""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""四大名著""]]",一个庞大而完整的神话世界，一段荒诞而魔幻的探求旅程。高高国际 出品  
富有的习惯,http://img3m6.ddimg.cn/92/9/25268456-1_l_4.jpg,58279.0,100%,"托马斯・科里 著, 博集天卷 出品",2018-05-09,民主与建设出版社,¥20.30,¥45.00,4.5折,¥10.99,http://product.dangdang.com/25268456.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787513919395""]","[[""图书"", ""成功/励志"", ""成功/激励"", ""成功法则""]]",富有的习惯，决定你一生财富！托马斯?科里用5年研究177位白手起家的千万富翁及128位穷人的日常习惯，总结出26条“富有的习惯”！  
中国的十万个为什么 金波、张抗抗推荐 快乐读书吧 爱阅读课程化丛书 青少版（无障碍阅读 彩插本）,http://img3m0.ddimg.cn/84/12/28513470-1_l_13.jpg,18146.0,99.9%,立人,2020-02-01,民主与建设出版社,¥9.70,¥24.80,3.9折,,http://product.dangdang.com/28513470.html,"[""开 本：16开"", ""纸 张：轻型纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787513928649""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]",两种封面随机发货  
雾都孤儿(经典新读，中央编译出版社）,http://img3m9.ddimg.cn/15/17/27912669-1_l_18.jpg,9713.0,100%,（英）查尔斯・狄更斯 万亭文化 出品,2019-08-01,中央编译出版社,¥15.30,¥36.80,4.2折,,http://product.dangdang.com/27912669.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787511726995""]","[[""图书"", ""小说"", ""世界名著"", ""欧洲""]]",世界文学伟大的励志经典，畅销近200年的血泪传奇，召唤人们回到欢笑和仁爱中来的明灯  
所罗门王的指环：洛伦茨的经典科普系列（诺贝尔生物或医学奖获得者经典著作！事实比任何贫瘠的想象都更出人意料、妙趣横生。,http://img3m4.ddimg.cn/78/7/22913034-1_l_17.jpg,99661.0,99.7%,康拉德・洛伦茨,2012-11-01,中信出版社,¥26.20,¥35.00,7.5折,¥24.50,http://product.dangdang.com/22913034.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787508636184""]","[[""图书"", ""科普读物"", ""生物世界"", ""动物""]]",诺贝尔生物或医学奖获得者洛伦茨的经典科普著作，从对于动物行为的冷静观察和炽热描述，引发人们对动物的关爱和对人类自身行为的思考：任何艺术化的表现形式，都不能描述生命的真实与感动。 过年不打烊，科技好书五折封顶 
大话中国艺术史（句句有梗，一口气读完10000年中国艺术史。艺术头部自媒体意外艺术新作，句句有梗的极简艺术史又来了）,http://img3m5.ddimg.cn/7/10/29374495-1_l_14.jpg,140037.0,100%,意公子；读客文化 出品,2022-03-01,海南出版社,¥59.00,¥118.00,5.0折,¥49.99,http://product.dangdang.com/29374495.html,"[""开 本：16开"", ""纸 张：特种纸"", ""包 装：平装"", ""是否套装：否"", ""国际标准书号ISBN：9787544394796""]","[[""图书"", ""艺术"", ""世界各国艺术概况"", ""艺术史/艺术思想史""]]",李白其实是个大书法家，《清明上河图》原本是旅游指南。《大话西方艺术史》姐妹篇，45位艺术名家，150件艺术珍品，10000年中国艺术史。翻开本书，轻松入门中国艺术史。读客熊猫君出品  
和大人一起读（全4册）小学生一年级上册快乐读书吧推荐阅读书目 全彩注音有声朗读 小学课外阅读,http://img3m5.ddimg.cn/97/17/28972645-1_l_16.jpg,42729.0,100%,樊发稼编选，朱永新主编，,2020-06-01,商务印书馆,¥21.40,¥42.80,5.0折,,http://product.dangdang.com/28972645.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：9787100184960"", ""丛书名：快乐读书吧 统编小学语文教材丛书""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]",新老版本任意发货  
