书名,图片,评论数,推荐量,作者,出版日期,出版社,售价,原价,折扣,电子书价格,详情页
往里走，安顿自己（史学大家许倬云重磅新作！总感觉自己活得很累，累就累在无法安顿自己的心！）,http://img3m8.ddimg.cn/87/36/29457438-1_l_13.jpg,21244,100%,[美] 许倬云 著；冯俊文 执笔；读客文化 出品,2022-08-31,北京日报出版社,¥29.90,¥59.90,5.0折,¥29.99,http://product.dangdang.com/29457438.html
苏东坡传：青少插图版,http://img3m4.ddimg.cn/17/24/28522214-1_l_27.jpg,758048,100%,林语堂 著；小博集 出品；,2020-03-10,湖南少年儿童出版社,¥24.00,¥48.00,5.0折,,http://product.dangdang.com/28522214.html
局外人（如果你在人群中感到格格不入，一定要读《局外人》！全新精装插图珍藏版！诺奖作品，人生之书，耐人回味。）【读客经典文库】,http://img3m3.ddimg.cn/92/29/26516153-1_l_17.jpg,228103,100%,(法)加缪 著；读客文化 出品,2019-03-01,江苏凤凰文艺出版社,¥22.50,¥45.00,5.0折,¥5.99,http://product.dangdang.com/26516153.html
逻辑表达力:说话缜密有趣，一句顶一万句,http://img3m6.ddimg.cn/70/4/27951136-1_l_15.jpg,119661,99.9%,刘琳,2019-08-01,古吴轩出版社,¥27.40,¥39.80,6.9折,¥12.80,http://product.dangdang.com/27951136.html
瓦尔登湖（瓦尔登湖畔，不只是身体的栖息之所，更是精神的沉思之地）,http://img3m1.ddimg.cn/53/6/23828561-1_l_10.jpg,243040,99.5%,（美）亨利戴维梭罗,2015-12-01,作家出版社,¥11.30,¥25.00,4.5折,¥9.99,http://product.dangdang.com/23828561.html
刀锋（毛姆经典哲思之作，苏州大学方华文教授全新修订&详细注释本）,http://img3m3.ddimg.cn/24/21/25273833-1_l_12.jpg,77917,99.9%,"[英]毛姆 著,方华文 译",2018-05-14,时代文艺出版社,¥17.10,¥38.00,4.5折,¥1.99,http://product.dangdang.com/25273833.html
我不想离开你,http://img3m7.ddimg.cn/14/30/27942467-1_l_5.jpg,39558,100%,(比) G.V.西纳顿,2019-08-01,四川少年儿童出版社,¥17.10,¥45.00,3.8折,,http://product.dangdang.com/27942467.html
美国儿科学会育儿百科（第7版）,http://img3m7.ddimg.cn/46/15/29133667-1_l_4.jpg,443183,100%,美) 塔尼娅・奥尔特曼,2020-12-01,北京科学技术出版社,¥63.00,¥108.00,5.8折,¥61.60,http://product.dangdang.com/29133667.html
昆虫记（《语文》推荐阅读丛书）八年级上册推荐阅读 人民文学出版社,http://img3m4.ddimg.cn/76/6/25275964-1_l_5.jpg,118125,100%,(法)亨利・法布尔,2018-05-01,人民文学出版社,¥12.20,¥26.00,4.7折,¥13.00,http://product.dangdang.com/25275964.html
博物馆寻宝记 藏在国宝中的文物简史 精装版,http://img3m8.ddimg.cn/25/7/29346298-1_l_7.jpg,41516,100%,王露,2022-03-01,石油工业出版社,¥21.00,¥50.00,4.2折,,http://product.dangdang.com/29346298.html
"慢煮生活（30万册畅销纪念版,汪曾祺写给大家的“生活观”,无机心，少俗虑，慢生活）",http://img3m4.ddimg.cn/21/16/27932574-1_l_33.jpg,173951,100%,汪曾祺 著  时代华语 出品,2019-09-01,江苏凤凰文艺出版社,¥10.50,¥42.00,2.5折,¥12.60,http://product.dangdang.com/27932574.html
不老泉 麦克米伦世纪大奖小说典藏本,http://img3m0.ddimg.cn/60/29/29254560-1_l_5.jpg,21374,100%,娜塔莉・巴比特,2021-05-01,二十一世纪出版社,¥10.10,¥23.00,4.4折,,http://product.dangdang.com/29254560.html
梁实秋：可能这就是人生吧（十点读书推荐，文学泰斗梁实秋趣味散文选，部分选用人民日报推荐篇目，创作100周年纪念版）,http://img3m4.ddimg.cn/45/20/28996254-1_l_46.jpg,103761,100%,梁实秋 著  时代华语 出品,2020-08-01,中国友谊出版公司,¥15.00,¥42.00,3.6折,,http://product.dangdang.com/28996254.html
地中海的衰落：文明的征程  精装,http://img3m1.ddimg.cn/47/28/29368001-1_l_10.jpg,13545,100%,【美】J.H.布雷斯特德 著 时代华语 出品,2022-03-01,中国友谊出版公司,¥22.30,¥89.00,2.5折,¥14.99,http://product.dangdang.com/29368001.html
中国传统节日故事自营儿童注音版（美绘大开本）一二三年级儿童文学 小学生课外阅读 全国著名语文特级教师 窦桂梅推荐 爱上阅读系列,http://img3m4.ddimg.cn/60/3/28521564-1_l_12.jpg,33135,100%,金波主编,2019-05-01,北京教育出版社,¥10.10,¥25.80,3.9折,,http://product.dangdang.com/28521564.html
丰乳肥臀（莫言用情极深的长篇代表作，女性苦难史）,http://img3m7.ddimg.cn/21/9/28531227-1_l_11.jpg,186509,100%,莫言,2020-03-01,浙江文艺出版社,¥34.50,¥69.00,5.0折,¥29.99,http://product.dangdang.com/28531227.html
全球通史：从史前到21世纪（第7版新校本 上下册套装 赠送全球通史主题笔记本和思维导图脉络图）,http://img3m6.ddimg.cn/48/12/27938046-1_l_17.jpg,519421,99.7%,斯塔夫里阿诺斯L. S.,2019-10-15,北京大学出版社,¥105.70,¥138.00,7.7折,,http://product.dangdang.com/27938046.html
面纱（50岁时毛姆写下这个近乎完美的爱情故事，因为每个人都在故事中找到了自己）,http://img3m6.ddimg.cn/65/20/23950046-1_l_25.jpg,119892,100%,【英】毛姆，果麦文化 出品,2016-05-04,江西人民出版社,¥19.90,¥39.80,5.0折,¥5.99,http://product.dangdang.com/23950046.html
科幻世界・三体(三)死神永生,http://img3m7.ddimg.cn/29/34/20994167-1_l_12.jpg,285896,99.9%,刘慈欣，科幻世界出品,2010-11-01,重庆出版社,¥19.00,¥38.00,5.0折,¥15.99,http://product.dangdang.com/20994167.html
四大名著 水浒传 红楼梦 三国演义 西游记 美绘本 青少版 无障碍阅读 少年读经典系列,http://img3m2.ddimg.cn/18/11/26924652-1_l_13.jpg,26578,99.9%,刘敬余/主编,2018-06-01,北京教育出版社,¥46.40,¥119.20,3.9折,,http://product.dangdang.com/26924652.html
梁实秋：于是生活像极了生活（文学泰斗趣味散文选，在平淡的日子里掬拾俗趣，详尽展现一代“生活家”的精神世界与生活意趣）,http://img3m3.ddimg.cn/26/21/29427083-1_l_16.jpg,24687,100%,梁实秋 著  时代华语 出品,2022-07-01,中国友谊出版公司,¥30.20,¥42.00,7.2折,,http://product.dangdang.com/29427083.html
人生（2021版，茅盾文学奖得主路遥代表作，激励万千读者，堪称《平凡的世界》序篇））,http://img3m1.ddimg.cn/38/0/29267111-1_l_6.jpg,134838,100%,路遥  著 ，新经典  出品,2021-07-01,北京十月文艺出版社,¥27.20,¥39.50,6.9折,,http://product.dangdang.com/29267111.html
四年级下套装：十万个为什么+灰尘的旅行+看看我们的地球+人类起源的演化过程+中国的十万个为什么（共5册） 统编版快乐读书吧,http://img3m6.ddimg.cn/90/18/28513476-1_l_9.jpg,25650,100%,立人 李四光 高士其 贾兰坡 米 ・ 伊林,2020-02-01,民主与建设出版社,¥48.20,¥124.00,3.9折,,http://product.dangdang.com/28513476.html
繁星・春水（冰心含蓄隽永、富于哲理的小诗集，徐志摩赞其诗“深得泰戈尔思想和艺术精髓”）,http://img3m2.ddimg.cn/30/32/24198402-1_l_13.jpg,107459,100%,冰心,2017-03-01,浙江工商大学出版社,¥10.00,¥20.00,5.0折,¥1.99,http://product.dangdang.com/24198402.html
八次危机：中国的真实经验1949-2009,http://img3m0.ddimg.cn/75/30/22917090-1_l_13.jpg,99072,99.8%,温铁军等著,2013-01-01,东方出版社,¥33.00,¥55.00,6.0折,,http://product.dangdang.com/22917090.html
汤姆索亚历险记 六年级下册推荐阅读(中小学生课外阅读指导丛书)彩插无障碍阅读 智慧熊图书,http://img3m3.ddimg.cn/91/3/29116783-1_l_23.jpg,4304,100%,（美）马克 吐温,2020-08-01,商务印书馆,¥8.20,¥22.80,3.6折,,http://product.dangdang.com/29116783.html
沉默的大多数（爱智慧、爱自由、反对愚蠢，读王小波的“上头之选”！依据王小波手稿、生前定稿修订多年讹误，SHOU度以读者视角排定蕞佳阅读顺序。）,http://img3m8.ddimg.cn/80/33/29176568-1_l_27.jpg,362345,100%,王小波  著 ， 新经典  出品,2021-01-01,北京十月文艺出版社,¥29.50,¥59.00,5.0折,¥29.49,http://product.dangdang.com/29176568.html
过年啦-节日体验立体绘本,http://img3m9.ddimg.cn/59/27/25184669-1_l_29.jpg,63249,99.9%,孙肇志 张羽高 文；�O杨 徐芳 李婷 图；乐乐趣出版,2011-02-01,未来出版社,¥38.90,¥99.80,3.9折,,http://product.dangdang.com/25184669.html
艾青诗选（《语文》推荐阅读丛书 人民文学出版社）,http://img3m6.ddimg.cn/10/34/25267186-1_l_6.jpg,184941,100%,王晓编选,2018-04-01,人民文学出版社,¥12.20,¥26.00,4.7折,¥13.00,http://product.dangdang.com/25267186.html
一年级的小蜜瓜（彩色修订版）,http://img3m2.ddimg.cn/93/16/26446062-1_l_6.jpg,40053,100%,商晓娜,2019-01-01,青岛出版社,¥19.00,¥38.00,5.0折,,http://product.dangdang.com/26446062.html
课文作家作品系列 小壁虎借尾巴 一年级下册 林颂英著（语文教材配套、教材编者选编、名家经典阅读、课文作家面对面）人民教育出版社 团购电话:4001066666转6,http://img3m0.ddimg.cn/56/10/28968050-1_l_12.jpg,26557,100%,林颂英 著，王林 主编,2020-05-01,人民教育出版社,¥17.90,¥21.00,8.5折,,http://product.dangdang.com/28968050.html
我妈妈的手提包,http://img3m3.ddimg.cn/28/22/26514703-1_l_20.jpg,38016,99.9%,[美] 保罗・汉森 著/绘；徐超 译；心喜阅童书出品,2017-11-01,长江少年儿童出版社,¥53.40,¥128.00,4.2折,,http://product.dangdang.com/26514703.html
西西家族成长日记・我会保护我自己（套装4册）给孩子的安全教育 自我保护意识绘本 睡前亲子读物 和孙俪一起守护宝贝的童年,http://img3m5.ddimg.cn/28/35/29474605-1_l_11.jpg,22674,100%,孙俪；小博集出品,2022-10-28,湖南少年儿童出版社,¥84.00,¥168.00,5.0折,,http://product.dangdang.com/29474605.html
看看我们的地球 金波、张抗抗推荐 快乐读书吧 爱阅读课程化丛书 青少版（无障碍阅读 彩插本）10000多名读者热评！小学四年级,http://img3m4.ddimg.cn/78/6/28513464-1_l_10.jpg,31725,100%,李四光,2020-02-01,民主与建设出版社,¥9.00,¥24.80,3.6折,,http://product.dangdang.com/28513464.html
人类群星闪耀时（2022）,http://img3m4.ddimg.cn/46/10/29476504-1_l_12.jpg,93105,100%,斯蒂芬・茨威格，译者：姜乙， 果麦文化 出品,2022-11-01,江苏凤凰文艺出版社,¥24.50,¥49.00,5.0折,¥7.99,http://product.dangdang.com/29476504.html
蓦然回首（藤本树  LookBack）,http://img3m0.ddimg.cn/33/14/29444910-1_l_23.jpg,10835,100%,[日]藤本树 著 吴曦 译,2022-08-01,新星出版社,¥30.00,¥30.00,10.0折,,http://product.dangdang.com/29444910.html
《苏东坡传――罗翔2022年度书单推荐》,http://img3m4.ddimg.cn/56/10/28521164-1_l_8.jpg,822,99.5%,肖仁福 著,2020-03-02,团结出版社,¥24.90,¥49.80,5.0折,,http://product.dangdang.com/28521164.html
三个火枪手（大仲马经典长篇小说，又名《三剑客》）,http://img3m7.ddimg.cn/65/2/23941037-1_l_12.jpg,36262,99.9%,亚历山大仲马 金孩 译,2016-04-01,作家出版社,¥28.40,¥58.00,4.9折,¥1.99,http://product.dangdang.com/23941037.html
我们的身体,http://img3m7.ddimg.cn/57/36/23946177-1_l_59.jpg,650371,99.9%,[法]艾德兰  文，[法]巴尔博里尼  绘，乐乐趣  出品,2012-06-01,未来出版社,¥60.50,¥155.00,3.9折,,http://product.dangdang.com/23946177.html
一个陌生女人的来信（茨威格中短篇小说选，豆瓣9.4高评分译作，德文直译无删节）,http://img3m1.ddimg.cn/30/23/25126131-1_l_17.jpg,209468,99.9%,〔奥〕斯蒂芬・茨威格 著  高中甫 韩耀成 译,2017-09-01,时代文艺出版社,¥9.90,¥22.00,4.5折,¥1.99,http://product.dangdang.com/25126131.html
"高效能人士的七个习惯（30周年纪念版）（全新增订版）（新增《纽约时报》畅销肖恩・柯维全新观点,管理大师吉姆・柯林斯作序）",http://img3m3.ddimg.cn/2/6/28979183-1_l_30.jpg,299989,100%,（美）史蒂芬・柯维 ，高新勇、王亦兵、葛雪蕾译； 中青文  出品,2020-05-30,中国青年出版社,¥43.50,¥79.00,5.5折,,http://product.dangdang.com/28979183.html
伊索寓言 快乐读书吧 三年级下册推荐阅读(中小学生课外阅读指导丛书)彩插无障碍阅读 智慧熊图书,http://img3m7.ddimg.cn/93/14/29130447-1_l_15.jpg,2115,100%,（古希腊）伊索,2020-09-01,商务印书馆,¥9.70,¥22.80,4.3折,,http://product.dangdang.com/29130447.html
鲁滨逊漂流记+汤姆・索亚历险记+尼尔斯骑鹅旅行记+爱丽丝漫游奇境 张抗抗、金波推荐（六年级阅读套装共4册）,http://img3m4.ddimg.cn/52/29/26919934-1_l_13.jpg,15802,100%,刘易斯・卡洛尔 塞尔玛・拉格洛芙 马克・吐温 丹尼尔・笛福,2017-08-01,天地出版社,¥48.60,¥99.20,4.9折,,http://product.dangdang.com/26919934.html
林汉达中国历史故事集（珍藏版）,http://img3m4.ddimg.cn/88/8/29287654-1_l_4.jpg,228966,100%,林汉达、雪岗,2022-01-01,中国少年儿童出版社,¥39.90,¥79.80,5.0折,,http://product.dangdang.com/29287654.html
不见了一只猫（2023百班千人寒假书单 二年级推荐阅读）,http://img3m6.ddimg.cn/15/35/29482116-1_l_3.jpg,6,100%,梁灵惠,2022-08-01,百花文艺出版社,¥32.00,¥45.00,7.1折,,http://product.dangdang.com/29482116.html
权威定本四大名著： 红楼梦 三国演义  水浒传  西游记 当当网专享（腰封版本随/机派发）（团购电话:400-1066666转6）,http://img3m1.ddimg.cn/6/34/20605371-1_l_10.jpg,264688,99.5%,（清）曹雪芹　等著；（清）无名氏　续,2008-07-01,人民文学出版社,¥112.20,¥197.00,5.7折,,http://product.dangdang.com/20605371.html
人类群星闪耀时（14个改变人类命运的天才，14个影响人类文明的瞬间！全新精装彩插导读详注版！）（读客经典文库）,http://img3m9.ddimg.cn/54/30/26919639-1_l_33.jpg,145467,100%,(奥地利)茨威格 著；读客文化 出品,2019-04-01,江苏凤凰文艺出版社,¥29.50,¥69.00,4.3折,¥40.50,http://product.dangdang.com/26919639.html
科幻世界・三体(二)黑暗森林,http://img3m2.ddimg.cn/43/18/20974282-1_l_15.jpg,294289,99.9%,刘慈欣，科幻世界出品,2008-05-01,重庆出版社,¥16.00,¥32.00,5.0折,¥14.99,http://product.dangdang.com/20974282.html
西游记（上下）原著（《语文》推荐阅读丛书 人民文学出版社）,http://img3m4.ddimg.cn/94/13/25283704-1_l_6.jpg,123265,100%,吴承恩,2018-05-30,人民文学出版社,¥28.00,¥56.00,5.0折,¥28.00,http://product.dangdang.com/25283704.html
自信的觉醒：从自卑走向自信的必修课,http://img3m6.ddimg.cn/72/26/29334366-1_l_12.jpg,10168,100%,R法 著，斯坦威出品,2021-11-30,中国友谊出版公司,¥20.70,¥46.00,4.5折,¥23.00,http://product.dangdang.com/29334366.html
人类起源的演化过程 金波、张抗抗推荐 快乐读书吧 爱阅读课程化丛书 青少版（无障碍阅读 彩插本）小学四年级,http://img3m9.ddimg.cn/83/11/28513469-1_l_9.jpg,28864,100%,贾兰坡,2020-02-01,民主与建设出版社,¥9.00,¥24.80,3.6折,,http://product.dangdang.com/28513469.html
娱乐至死：媒介文化研究大师尼尔・波兹曼经典畅销作品,http://img3m6.ddimg.cn/37/22/23687866-1_l_6.jpg,217826,99.7%,（美）波兹曼　著，章艳　译,2015-05-01,中信出版社,¥24.20,¥38.00,6.4折,¥19.99,http://product.dangdang.com/23687866.html
茶馆（《语文》推荐阅读丛书）人民文学出版社,http://img3m2.ddimg.cn/76/26/25267252-1_l_7.jpg,79399,100%,老舍,2018-04-01,人民文学出版社,¥9.00,¥18.00,5.0折,¥9.00,http://product.dangdang.com/25267252.html
哈利波特20周年纪念版 哈利・波特与魔法石Ⅰ（第1卷）,http://img3m7.ddimg.cn/40/20/27902497-1_l_3.jpg,24695,100%,（英）J.K.罗琳 著；苏农 译,2019-07-01,人民文学出版社,¥14.10,¥21.00,6.7折,,http://product.dangdang.com/27902497.html
全球通史:从史前史到21世纪（第7版修订版上下册，赠送全球通史主题笔记本）,http://img3m8.ddimg.cn/43/20/9231298-1_l_36.jpg,471955,99.7%,（美）斯塔夫里阿诺斯  著，吴象婴  等译,2006-10-01,北京大学出版社,¥71.10,¥96.00,7.4折,,http://product.dangdang.com/9231298.html
梁实秋：为这人间操碎了心（一本解闷宝书，文学泰斗梁实秋趣味散文选，创作100周年纪念版）,http://img3m0.ddimg.cn/11/29/29129870-1_l_31.jpg,72373,100%,梁实秋 著  时代华语 出品,2020-10-01,中国友谊出版公司,¥19.80,¥42.00,4.7折,,http://product.dangdang.com/29129870.html
崔玉涛育儿百科,http://img3m6.ddimg.cn/60/15/26312676-1_l_21.jpg,129079,100%,崔玉涛,2018-12-31,中信出版社,¥89.00,¥178.00,5.0折,,http://product.dangdang.com/26312676.html
尼尔斯骑鹅历险记（小学语文“快乐读书吧”六年级下阅读。又译《尼尔斯骑鹅旅行记》，注音&注释，无障碍阅读）,http://img3m4.ddimg.cn/33/26/25126134-1_l_19.jpg,65560,100%,[瑞典]塞尔玛・拉格洛芙  著   石琴娥  译,2017-08-01,浙江工商大学出版社,¥12.20,¥27.00,4.5折,¥1.99,http://product.dangdang.com/25126134.html
曾国藩传（当当专享印签版！张宏杰全新增补版：复盘曾国藩的人生路径及命运抉择）,http://img3m2.ddimg.cn/29/14/29468072-1_l_3.jpg,144686,100%,张宏杰,2022-09-29,民主与建设出版社,¥56.10,¥78.00,7.2折,¥39.00,http://product.dangdang.com/29468072.html
献给阿尔吉侬的花束（新版）,http://img3m6.ddimg.cn/83/6/29442386-1_l_14.jpg,68996,99.7%,（美）丹尼尔・凯斯 著，理想国 出品,2022-08-01,河南文艺出版社,¥28.00,¥48.00,5.8折,¥33.60,http://product.dangdang.com/29442386.html
三国史话：史学泰斗吕思勉展现真实的三国人物,http://img3m4.ddimg.cn/59/14/29217434-1_l_9.jpg,16797,99.9%,吕思勉 著,2021-03-01,中国友谊出版公司,¥18.90,¥42.00,4.5折,¥0.99,http://product.dangdang.com/29217434.html
一读就会用的分类成语故事（把成语用起来！随书附赠价值99元在线学习码，全10册，歪歪兔童书馆出品）,http://img3m8.ddimg.cn/35/16/28536488-1_l_91.jpg,53404,100%,歪歪兔童书馆,2020-05-01,海豚出版社,¥202.50,¥450.00,4.5折,,http://product.dangdang.com/28536488.html
会说话的汉字（全3册，配备《亲子阅读指导手册》）,http://img3m0.ddimg.cn/62/22/25321490-1_l_13.jpg,61808,100%,梅子涵,2018-09-01,青岛出版社,¥74.00,¥148.00,5.0折,,http://product.dangdang.com/25321490.html
他和她的猫（当当专享定制INS风透卡、定制捏脸圆扇、定制甜蜜3D变幻卡，“唧唧的猫”甜蜜电竞题材作品）,http://img3m9.ddimg.cn/5/13/25299059-1_l_37.jpg,108131,100%,唧唧的猫著，鲤伴出品，有容书邦发行,2018-07-01,江苏凤凰文艺出版社,¥17.50,¥35.00,5.0折,,http://product.dangdang.com/25299059.html
季羡林：人间岁月长,http://img3m4.ddimg.cn/55/26/28540864-1_l_7.jpg,75477,100%,季羡林,2020-03-01,中国致公出版社,¥22.50,¥45.00,5.0折,,http://product.dangdang.com/28540864.html
红色羊齿草的故乡（2019版）,http://img3m7.ddimg.cn/93/33/27850377-1_l_7.jpg,37826,99.9%,［美］威尔逊・罗尔斯， 爱心树童书  出品,2019-03-01,新星出版社,¥17.50,¥35.00,5.0折,,http://product.dangdang.com/27850377.html
经典译林：简爱（央视《朗读者》选读版本，翻译家黄源深译本！初中语文九年级下）团购电话:4001066666转6,http://img3m1.ddimg.cn/72/21/26439111-1_l_9.jpg,125946,99.9%,夏洛蒂・勃朗特 著，黄源深 译,2018-10-01,译林出版社,¥17.90,¥39.00,4.6折,,http://product.dangdang.com/26439111.html
西游记 生僻字注音+注释+注解 插图青少版 小升初、中考配套阅读 9-15岁孩子更易读懂 名家推荐,http://img3m2.ddimg.cn/79/9/25111132-1_l_25.jpg,57396,99.9%,（明）吴承恩 著，高高国际 出品,2017-08-01,民主与建设出版社,¥11.90,¥29.80,4.0折,,http://product.dangdang.com/25111132.html
富有的习惯,http://img3m6.ddimg.cn/92/9/25268456-1_l_4.jpg,58279,100%,"托马斯・科里 著, 博集天卷 出品",2018-05-09,民主与建设出版社,¥20.30,¥45.00,4.5折,¥10.99,http://product.dangdang.com/25268456.html
中国的十万个为什么 金波、张抗抗推荐 快乐读书吧 爱阅读课程化丛书 青少版（无障碍阅读 彩插本）,http://img3m0.ddimg.cn/84/12/28513470-1_l_13.jpg,18146,99.9%,立人,2020-02-01,民主与建设出版社,¥9.70,¥24.80,3.9折,,http://product.dangdang.com/28513470.html
雾都孤儿(经典新读，中央编译出版社）,http://img3m9.ddimg.cn/15/17/27912669-1_l_18.jpg,9713,100%,（英）查尔斯・狄更斯 万亭文化 出品,2019-08-01,中央编译出版社,¥15.30,¥36.80,4.2折,,http://product.dangdang.com/27912669.html
所罗门王的指环：洛伦茨的经典科普系列（诺贝尔生物或医学奖获得者经典著作！事实比任何贫瘠的想象都更出人意料、妙趣横生。,http://img3m4.ddimg.cn/78/7/22913034-1_l_17.jpg,99661,99.7%,康拉德・洛伦茨,2012-11-01,中信出版社,¥26.20,¥35.00,7.5折,¥24.50,http://product.dangdang.com/22913034.html
大话中国艺术史（句句有梗，一口气读完10000年中国艺术史。艺术头部自媒体意外艺术新作，句句有梗的极简艺术史又来了）,http://img3m5.ddimg.cn/7/10/29374495-1_l_14.jpg,140037,100%,意公子；读客文化 出品,2022-03-01,海南出版社,¥59.00,¥118.00,5.0折,¥49.99,http://product.dangdang.com/29374495.html
和大人一起读（全4册）小学生一年级上册快乐读书吧推荐阅读书目 全彩注音有声朗读 小学课外阅读,http://img3m5.ddimg.cn/97/17/28972645-1_l_16.jpg,42729,100%,樊发稼编选，朱永新主编，,2020-06-01,商务印书馆,¥21.40,¥42.80,5.0折,,http://product.dangdang.com/28972645.html
封神演义幼儿美绘本,http://img3m3.ddimg.cn/0/20/29386863-1_l_7.jpg,7665,100%,［明］许仲琳 著，吕进 吴越 改编，厚绘有期 绘，海豚传媒 出品,2022-03-31,新世纪出版社,¥83.10,¥199.00,4.2折,,http://product.dangdang.com/29386863.html
课文作家作品系列 荷叶圆圆 一年级下册 胡木仁著（语文教材配套、教材编者选编、名家经典阅读、课文作家面对面）人民教育出版社 团购电话:4001066666转6,http://img3m6.ddimg.cn/61/33/29211496-1_l_9.jpg,21496,100%,胡木仁 著，王林 主编,2021-02-01,人民教育出版社,¥17.90,¥21.00,8.5折,,http://product.dangdang.com/29211496.html
早起的奇迹,http://img3m7.ddimg.cn/52/36/25229707-1_l_25.jpg,69460,100%,[美]哈尔・埃尔罗德（Hal Elrod）；易伊 译；中资海派  出品,2018-02-01,广东人民出版社,¥19.90,¥39.80,5.0折,,http://product.dangdang.com/25229707.html
原则：桥水创始人瑞达利欧作品，半个金融圈、投资界、管理层都在读，比尔・盖茨、张瑞敏、吴晓波、罗辑思维等倾情推荐！,http://img3m9.ddimg.cn/21/7/25204629-1_l_23.jpg,345063,100%,[美]瑞・达利欧（Ray Dalio）,2018-01-01,中信出版社,¥49.00,¥98.00,5.0折,¥39.99,http://product.dangdang.com/25204629.html
国际大奖小说--蓝色的海豚岛,http://img3m4.ddimg.cn/64/31/29429794-1_l_6.jpg,2208,100%,[美]斯・奥台尔,2022-07-01,新蕾出版社,¥15.30,¥26.00,5.9折,,http://product.dangdang.com/29429794.html
中国古代文化常识 （插图修订第4版）,http://img3m6.ddimg.cn/51/28/23590266-1_l_32.jpg,156372,99.7%,王力 主编   后浪,2014-11-01,北京联合出版公司,¥30.00,¥60.00,5.0折,¥12.99,http://product.dangdang.com/23590266.html
数字的秘密生活：最有趣的50个数学故事,http://img3m9.ddimg.cn/0/14/23179959-1_l_3.jpg,55373,100%,乔治・G.斯皮罗 著，郭婷玮 译,2013-01-01,上海科技教育出版社,¥10.90,¥22.00,5.0折,,http://product.dangdang.com/23179959.html
理想国（商务印书馆汉译名著权威全译本，精装典藏版）,http://img3m8.ddimg.cn/49/13/28989328-1_l_4.jpg,145625,100%,柏拉图 著；郭斌和 张竹明 译,2020-06-01,商务印书馆,¥34.00,¥68.00,5.0折,,http://product.dangdang.com/28989328.html
乌丢丢的奇遇：小学生课外阅读经典作品，曹文轩推荐/金波作品精选,http://img3m7.ddimg.cn/51/5/25576107-1_l_20.jpg,35165,100%,金波,2018-09-01,江苏少年儿童出版社,¥10.50,¥24.00,4.4折,,http://product.dangdang.com/25576107.html
沟通的方法（畅销60万册 得到CEO脱不花为你准备的沟通心法，助你职场一路开挂。现在加入沟通的无限游戏吧）,http://img3m9.ddimg.cn/81/16/29251809-1_l_47.jpg,138717,100%,脱不花 著，得到图书 出品,2021-06-11,新星出版社,¥37.90,¥69.00,5.5折,,http://product.dangdang.com/29251809.html
天蓝色的彼岸（赠书签）,http://img3m0.ddimg.cn/52/28/26483740-1_l_12.jpg,317252,99.7%,[英]亚历克斯・希勒/著；吕良忠/译     禹田文化  出品,2019-03-01,北京联合出版有限公司,¥22.00,¥35.00,6.3折,,http://product.dangdang.com/26483740.html
王一梅童书・短篇注音童话――书本里的蚂蚁,http://img3m2.ddimg.cn/47/3/23763512-1_l_1.jpg,59619,99.9%,王一梅,2015-09-01,新蕾出版社,¥10.00,¥20.00,5.0折,,http://product.dangdang.com/23763512.html
长安客（张颂文推荐，大唐版《人类群星闪耀时》，李白、杜甫、王维、白居易、元稹、柳宗元、刘禹锡、李商隐，八位诗人的命运特写）,http://img3m6.ddimg.cn/23/28/28558256-1_l_29.jpg,128423,100%,北溟鱼，果麦文化 出品,2020-05-01,天津人民出版社,¥22.50,¥45.00,5.0折,¥19.99,http://product.dangdang.com/28558256.html
白鹿原（全书含陈忠实代表作白鹿原+信任+蚕儿+霞光灿烂的早晨，央视《读书》两次推荐版本。）,http://img3m3.ddimg.cn/0/6/26913843-1_l_23.jpg,161750,99.9%,陈忠实,2019-03-28,作家出版社,¥28.40,¥39.80,7.1折,,http://product.dangdang.com/26913843.html
终身成长：重新定义成功的思维模式,http://img3m2.ddimg.cn/23/30/25166912-1_l_36.jpg,318286,100%,[美]卡罗尔・德韦克（Carol Dweck) ， 译者：楚�t楠   后浪,2017-11-01,江西人民出版社,¥24.90,¥49.80,5.0折,¥19.99,http://product.dangdang.com/25166912.html
朱自清散文精选（中小学生课外阅读指导丛书）无障碍阅读 彩插励志版,http://img3m7.ddimg.cn/24/32/29266107-1_l_12.jpg,70466,100%,朱自清,2021-06-01,时代文艺出版社,¥9.30,¥20.80,4.5折,,http://product.dangdang.com/29266107.html
茶花女 世界名著典藏,http://img3m8.ddimg.cn/68/8/23645228-1_l_12.jpg,68815,99.9%,（法）小仲马　著，李玉民　译 万亭文化 出品,2015-01-01,中央编译出版社,¥8.00,¥16.00,5.0折,,http://product.dangdang.com/23645228.html
资治通鉴少年简读版(套装全4册）附赠音频，扫码畅听！四册盒装，精华简读；史家打造，全彩插图！,http://img3m0.ddimg.cn/28/4/27868330-1_l_8.jpg,109390,99.9%,何孝荣 侯振龙,2019-05-01,青岛出版社,¥65.00,¥156.00,4.2折,,http://product.dangdang.com/27868330.html
基督山伯爵（智慧尽在其中！全三册一字未删完整版！）（读客经典文库）,http://img3m9.ddimg.cn/1/32/25346179-1_l_22.jpg,67464,99.9%,(法)大仲马 著；周克希 译；读客文化 出品,2018-09-18,江苏凤凰文艺出版社,¥67.50,¥168.00,4.0折,¥9.99,http://product.dangdang.com/25346179.html
